vehicle_id,year,make,model,class,drive,transmission,engine_index,engine_cylinders,engine_displacement,turbocharger,fuel_type,fuel_type_1,city_mpg_ft1,unrounded_city_mpg_ft1,city_mpg_ft2,unrounded_city_mpg_ft2,city_gasoline_consumption_cd,city_electricity_consumption,city_utility_factor,highway_mpg_ft1,unrounded_highway_mpg_ft1,highway_mpg_ft2,unrounded_highway_mpg_ft2,highway_gasoline_consumption_cd,highway_electricity_consumption,highway_utility_factor,unadjusted_city_mpg_ft1,unadjusted_highway_mpg_ft1,unadjusted_city_mpg_ft2,unadjusted_highway_mpg_ft2,combined_mpg_ft1,unrounded_combined_mpg_ft1,combined_mpg_ft2,unrounded_combined_mpg_ft2,combined_electricity_consumption,combined_gasoline_consumption_cd,combined_utility_factor,annual_fuel_cost_ft1,annual_fuel_cost_ft2,gas_guzzler_tax,save_or_spend_5_year,annual_consumption_in_barrels_ft1,annual_consumption_in_barrels_ft2,tailpipe_co2_ft1,tailpipe_co2_in_grams_mile_ft1,tailpipe_co2_ft2,tailpipe_co2_in_grams_mile_ft2,fuel_economy_score,ghg_score,ghg_score_alt_fuel,my_mpg_data,x2d_passenger_volume,x2d_luggage_volume,x4d_passenger_volume,x4d_luggage_volume,hatchback_passenger_volume,hatchback_luggage_volume,alternative_fuel_technology,gasoline_electricity_blended_cd,hours_to_charge_120v,hours_to_charge_240v,hours_to_charge_ac_240v,composite_city_mpg,composite_highway_mpg,composite_combined_mpg,range_ft1,city_range_ft1,highway_range_ft1,city_range_ft2,highway_range_ft2
34770,2014,Cadillac,ELR,Subcompact Cars,Front-Wheel Drive,Automatic (variable gear ratios),401,4.0,1.4,,Premium Gas or Electricity,Premium Gasoline,31,31.0,85,85.0,0.0,39.0,0.67,35,35.0,80,80.0,0.0,42.0,0.64,47.6,53.5,144.9,133.3,33,33.0,82,82.0,41.0,0.0,0.65,1300,800,,2000,3.614241816,0.246,91,91.0,-1,0.0,10,10,-1,Y,83,11,0,0,0,0,Plug-in Hybrid,False,0,5.0,0.0,54,55,54,0,0.0,0.0,38.46,35.05
33900,2014,Chevrolet,Volt,Compact Cars,Front-Wheel Drive,Automatic (variable gear ratios),402,4.0,1.4,,Premium Gas or Electricity,Premium Gasoline,35,34.9,101,101.43,0.0,33.0,0.68,40,39.7,93,93.3,0.0,36.0,0.65,47.6,53.5,144.9,133.3,37,36.9,98,97.77,35.0,0.0,0.66,1150,700,,2500,3.092538804,0.21,81,81.0,-1,0.0,10,10,-1,Y,0,0,0,0,90,18,Plug-in Hybrid,False,0,4.0,0.0,63,61,62,0,0.0,0.0,39.9196,36.302
34662,2014,Ford,C-MAX Energi Plug-in Hybrid,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),320,4.0,2.0,,Regular Gas and Electricity,Regular Gasoline,40,40.4488,95,94.5114,0.0,34.0,0.4781,36,36.2655,81,81.449,0.0,42.0,0.4144,55.0,51.4,135.0163,115.6155,38,38.4528,88,87.5757,37.0,0.0,0.4506,900,0,,2500,4.878703541,3.745568182,129,129.0,-1,0.0,10,10,-1,Y,0,0,100,19,0,0,Plug-in Hybrid,True,0,2.5,0.0,55,46,51,0,0.0,0.0,21.4,17.4
34089,2014,Ford,Fusion Energi Plug-in Hybrid,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),316,4.0,2.0,,Regular Gas and Electricity,Regular Gasoline,40,40.4488,95,94.5114,0.0,34.0,0.4781,36,36.2655,81,81.449,0.0,42.0,0.4144,55.0,51.4,135.0163,115.6155,38,38.4528,88,87.5757,37.0,0.0,0.4506,900,0,,2500,4.878703541,3.745568182,129,129.0,-1,0.0,10,10,-1,Y,0,0,103,8,0,0,Plug-in Hybrid,True,0,2.5,0.0,55,46,51,0,0.0,0.0,21.4,17.4
33557,2014,Honda,Accord Plug-in Hybrid,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),2,4.0,2.0,,Regular Gas and Electricity,Regular Gasoline,47,46.6172,124,124.0132,0.0,27.0,0.34,46,45.5569,105,105.0654,0.0,32.0,0.31,64.8901,65.4497,177.1617,150.0935,46,46.134,115,114.7045,29.0,0.0,0.33,750,0,,3250,4.827656777,2.866173913,130,130.0,-1,0.0,10,10,-1,Y,0,0,103,9,0,0,Plug-in Hybrid,True,0,0.67,0.0,59,55,57,0,0.0,0.0,14.0,11.7
35600,2014,McLaren Automotive,P1,Two Seaters,Rear-Wheel Drive,Automatic 7-Speed,3,8.0,3.8,True,Premium and Electricity,Premium Gasoline,16,15.5628,16,16.4091,5.35,25.0,0.434,20,20.388,21,20.7458,4.06,26.0,0.418,19.359,28.25,20.4632,28.7536,17,17.4178,18,18.113,25.0,4.8,0.427,2500,0,,-5500,10.79436611,18.31166667,463,463.0,-1,0.0,3,4,-1,N,0,0,0,0,0,0,Plug-in Hybrid,True,0,3.0,0.0,15,20,17,0,0.0,0.0,19.12,18.3
34789,2014,Porsche,Panamera S E-Hybrid,Large Cars,Rear-Wheel Drive,Auto(AM-S8),641,6.0,3.0,,Premium and Electricity,Premium Gasoline,23,22.6723,42,41.6362,0.87,53.0,0.39,29,29.2912,66,66.1553,0.03,51.0,0.38,28.9,41.1,59.5,94.5,25,25.2387,50,49.9705,52.0,0.5,0.39,1700,0,,-750,8.099619256,6.5922,206,206.0,-1,0.0,8,9,-1,N,0,0,108,16,0,0,Plug-in Hybrid,True,0,3.0,0.0,28,36,31,0,0.0,0.0,16.01,15.6
34516,2014,Toyota,Prius Plug-in Hybrid,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),70,4.0,1.8,,Regular Gas and Electricity,Regular Gasoline,51,50.5282,90,90.2714,0.35,26.0,0.32,49,48.7284,102,102.4898,0.0,33.0,0.25,70.9,68.4,128.9591,146.414,50,49.7021,95,95.3887,29.0,0.1907,0.29,700,0,,3250,4.737143959,3.469578947,133,133.0,-1,0.0,10,10,-1,Y,0,0,0,0,94,22,Plug-in Hybrid,True,0,1.5,0.0,59,56,58,0,0.0,0.0,12.15,9.1
36030,2015,BMW,i3 REX,Subcompact Cars,Rear-Wheel Drive,Automatic (A1),101,2.0,0.6,,Premium Gas or Electricity,Premium Gasoline,41,41.4544,127,127.093,0.0,27.0,0.849,37,37.318,107,106.531,0.0,32.0,0.813,52.5,52.2,181.5609,152.1878,39,39.485,117,116.9364,29.0,0.0,0.834,1100,550,,3500,1.563190372,0.174,40,40.0,-1,0.0,10,10,-1,N,0,0,84,15,0,0,Plug-in Hybrid,False,0,4.0,0.0,97,79,88,0,0.0,0.0,77.504,65.632
36031,2015,BMW,i8,Subcompact Cars,All-Wheel Drive,Automatic 6-Speed,108,3.0,1.5,True,Premium and Electricity,Premium Gasoline,28,28.1135,80,79.5972,0.0,45.0,0.3678,29,28.8888,72,72.4259,0.1865,41.0,0.3808,38.4,46.4,113.7102,103.4655,28,28.4624,76,76.2018,43.0,0.1,0.3737,1500,0,,500,7.356924278,4.336973684,198,198.0,-1,0.0,9,10,-1,N,81,5,0,0,0,0,Plug-in Hybrid,True,0,2.0,0.0,37,38,37,0,0.0,0.0,14.73,15.44
